Corpus	Config	Acc	Acc-Std	F1-Macro	F1-Macro-Std	F1-Weighted	F1-Weighted-Std
NA02-Ploch	lt_r-n-v	65.37	14.19	67.24	12.15	69.78	12.63
MI01-Clematide	lt_lt-e-n-v	66.83	9.47	67.23	8.79	68.1	9.38
MI01-Clematide	lt_lt-n-v	66.83	9.47	67.23	8.79	68.1	9.38
MI01-Clematide	lt_lt-n-v	66.83	9.47	67.23	8.79	68.1	9.38
NA02-Ploch	lt_r-l-v	66.97	12.38	67.23	9.68	70.29	10.01
NA02-Ploch	lt-ps_lt-ps-e-l-n-t-v	66.51	12.63	67.21	11.56	70.42	11.29
NA02-Ploch	li-pt_li-pt-n-v	66.74	13.72	67.2	12.48	70.16	12.74
MI01-Clematide	li_r-v	65.44	14.59	67.18	13.91	67.64	14.6
MI01-Clematide	li_r-e-v	65.44	14.59	67.18	13.91	67.64	14.6
MI01-Clematide	li_li-e-v	66.41	12.06	67.17	11.82	67.85	12.39
MI01-Clematide	li_li-v	66.41	12.06	67.17	11.82	67.85	12.39
MI01-Clematide	li_li-e-v	66.41	12.06	67.17	11.82	67.85	12.39
NA02-Ploch	li-ps_li-ps-e-l-s-t-v	65.71	15.49	67.17	12.48	70.19	12.5
NA02-Ploch	li-ps_li-ps-l-n-s-t-v	65.71	15.49	67.17	12.48	70.19	12.5
NA02-Ploch	li-ps_li-ps-e-l-n-t-s-v	65.71	15.49	67.17	12.48	70.19	12.5
MI01-Clematide	li_li-l-t-v-s	65.78	9.58	67.15	8.96	67.74	9.29
MI01-Clematide	li_li-e-l-s-t-v	65.78	9.58	67.15	8.96	67.74	9.29
MI01-Clematide	li_li-l-n-s-t-v	65.78	9.58	67.15	8.96	67.74	9.29
MI01-Clematide	li_li-e-l-n-t-s-v	65.78	9.58	67.15	8.96	67.74	9.29
MI01-Clematide	li_li-e-l-t-v	65.92	9.73	67.11	9.52	67.69	9.96
MI01-Clematide	li_li-n-l-t-v	65.92	9.73	67.11	9.52	67.69	9.96
MI01-Clematide	li_li-l-t-v	65.92	9.73	67.11	9.52	67.69	9.96
MI01-Clematide	li_li-e-l-n-t-v	65.92	9.73	67.11	9.52	67.69	9.96
MI01-Clematide	li_li-e-n-l-v	66.2	9.84	67.1	9.55	67.71	10.04
MI01-Clematide	li_li-n-l-v	66.2	9.84	67.1	9.55	67.71	10.04
NA02-Ploch	li_r-e-l-s-t-v	65.48	13.71	67.09	10.53	70.1	10.76
NA02-Ploch	li_r-l-n-s-t-v	65.48	13.71	67.09	10.53	70.1	10.76
NA02-Ploch	li_r-e-l-n-t-s-v	65.48	13.71	67.09	10.53	70.1	10.76
