Config	Acc	Acc-Std	F1-Macro	F1-Macro-Std	F1-Weighted	F1-Weighted-Std	LT-Acc	LT-Acc-Std	LT-F1-Macro	LT-F1-Macro-Std	LT-F1-Weighted	LT-F1-Weighted-Std	MI-Acc	MI-Acc-Std	MI-F1-Macro	MI-F1-Macro-Std	MI-F1-Weighted	MI-F1-Weighted-Std	NA-Acc	NA-Acc-Std	NA-F1-Macro	NA-F1-Macro-Std	NA-F1-Weighted	NA-F1-Weighted-Std	RE-Acc	RE-Acc-Std	RE-F1-Macro	RE-F1-Macro-Std	RE-F1-Weighted	RE-F1-Weighted-Std	SM-Acc	SM-Acc-Std	SM-F1-Macro	SM-F1-Macro-Std	SM-F1-Weighted	SM-F1-Weighted-Std
sc_sc-e-n-l-v	57.645	10.14625	56.27625	9.1075	60.96	9.25	51.65125	5.01	52.38	5.42875	54.31	4.74125	54.9225	9.44375	55.51	9.52	58.225	7.37875	56.64375	14.0725	53.76875	17.75	62.95625	10.455	66.3475	6.73375	59.77875	3.91	67.73625	7.8725	55.25375	8	56.94625	7.34125	59.01	8.05125
sc_sc-e-n-v	57.645	10.14625	56.27625	9.1075	60.96	9.25	51.65125	5.01	52.38	5.42875	54.31	4.74125	54.9225	9.44375	55.51	9.52	58.225	7.37875	56.64375	14.0725	53.76875	17.75	62.95625	10.455	66.3475	6.73375	59.77875	3.91	67.73625	7.8725	55.25375	8	56.94625	7.34125	59.01	8.05125
li_li-e-l-v	57.415	12.08875	56.2675	10.11875	60.71	11.17125	48.2875	5.9075	49.99875	5.825	50.63375	5.9025	54.27	11.76375	55.60625	11.42375	57.9	9.61625	55.5975	14.655	53.2175	17.19375	62.07875	11.0475	67.06125	9.11375	59.71375	5.11125	67.81	9.93	56.42375	8.6725	58.38	7.3775	60.55375	8.92625
lt_lt-e-n-s-t-v	55.945	9.7825	56.23375	8.73	60.79	8.59125	47.675	5.07625	50.7175	4.625	51.98375	4.30125	53.47375	10.88875	55.87	10.8425	58.1925	8.6025	54.9875	11.4925	53.7875	17.50625	63.06125	7.3575	65.3425	6.32875	60.04875	3.77625	68.02125	7.0575	53.95875	6.81375	57.21875	5.77625	59.33125	6.615
lt_lt-e-t-v-s	55.945	9.7825	56.23375	8.73	60.79	8.59125	47.675	5.07625	50.7175	4.625	51.98375	4.30125	53.47375	10.88875	55.87	10.8425	58.1925	8.6025	54.9875	11.4925	53.7875	17.50625	63.06125	7.3575	65.3425	6.32875	60.04875	3.77625	68.02125	7.0575	53.95875	6.81375	57.21875	5.77625	59.33125	6.615
lt-ps_lt-ps-e-l-n-t-v	55.79875	10.6175	56.21375	8.6725	60.62875	9.43	48.86375	4.02	51.91375	3.90625	53.095	3.63375	52.685	11.815	55.20625	10.975	57.455	9.74625	54.95375	12.2125	53.68625	17.1625	62.7625	9.4075	65.56375	9.06625	60.41	3.15375	68.08	8.98	53.11625	6.9575	56.63875	5.51875	58.705	6.845
lt_lt-e-n-l-v	57.2275	10.65625	56.18375	8.9825	60.66	10.09375	50.98625	3.8525	52.275	3.95375	53.5875	3.48625	55.92375	11.70875	56.19625	11.35375	59.28375	10.3425	56.90125	14.15875	53.785	16.14	63.15875	11.88625	64.2275	8.48125	58.42375	4.5	65.57	9.4375	55.33	6.1675	57.4625	5.165	59.54	6.0975
lt_r-e-l-n-t-s-v	55.76375	10.26	56.16625	8.9375	60.68625	8.885	47.2625	6.0725	50.52375	5.13625	51.74875	5.34	53.52125	11.82375	56.0925	11.3075	58.40625	9.24125	54.57125	11.95	53.71	17.72	62.76625	8.0975	65.3925	7.0725	59.98625	3.96125	67.93875	7.7275	53.715	6.605	57.06875	5.355	59.21375	6.3025
lt_r-e-l-s-t-v	55.76375	10.26	56.16625	8.9375	60.68625	8.885	47.2625	6.0725	50.52375	5.13625	51.74875	5.34	53.52125	11.82375	56.0925	11.3075	58.40625	9.24125	54.57125	11.95	53.71	17.72	62.76625	8.0975	65.3925	7.0725	59.98625	3.96125	67.93875	7.7275	53.715	6.605	57.06875	5.355	59.21375	6.3025
lt_lt-e-n-t-v	56.865	10.6475	56.1275	8.8375	60.5975	10.07875	50.95875	4.21125	52.5425	4.08625	53.955	3.7	55.25625	11.34375	55.77	10.98875	58.85625	10.01625	56.28375	14.10375	53.5675	16.15625	62.8675	12.6375	64.3275	8.74	58.73125	4.605	65.8975	9.63	54.69375	6.37375	57.21	5.40625	59.2325	6.32875
